"","nama_customer","sales_order","kubikasi_pemenuhan_m3","berat_pemenuhan_kg","tanggal_order","tanggal_po_expired"
"824","YOMART GEDEBAGE","115131473",0.20320968,43.669040004,2022-12-06,2022-12-10
"825","SAT Bandung-P30015","115131459",0.50595936,223.217600016,2022-12-06,NA
"826","SAT Bandung-P30015","115131461",0.98989152,156.080400048,2022-12-06,NA
"827","SAT Bandung-P30015","115131523",0.06192,31.41216,2022-12-06,NA
"828","SAT Bandung-P30015","115131524",0.00768,5.41896,2022-12-06,NA
"829","GRIYA DINASTY-P30023","115131520",0.04102318,9.53652,2022-12-06,2022-12-12
"830","GRIYA DINASTY-P30023","115131521",0.05042106,7.970922,2022-12-06,2022-12-12
"831","GRIYA DINASTY-P30023","115131522",0.00384,2.72496,2022-12-06,2022-12-12
"832","INDOGROSIR BANDUNG-P30012","115131395",0.1801098,48.699799984,2022-12-05,2022-12-07
"833","INDOGROSIR BANDUNG-P30012","115131396",0.02616,4.4544,2022-12-05,2022-12-07
"834","INDOGROSIR BANDUNG-P30012","115131449",0.57854314,147.583691964,2022-12-06,2022-12-09
"835","INDOGROSIR BANDUNG-P30012","115131451",0.0323,7.81314,2022-12-06,2022-12-09
"836","INDOMARCO BANDUNG-P30013","115131455",0.08496,23.78016,2022-12-06,2022-12-09
"837","INDOMARCO WH KLIK I-PLAZA BANDUNG","115131453",0.02634402,5.899998,2022-12-06,2022-12-09
"838","INDOMARCO WH KLIK I-PLAZA BANDUNG","115131454",0.0262998,5.599998,2022-12-06,2022-12-09
"839","GRIYA BATUNUNGGAL","115131511",0.03861202,9.012793,2022-12-06,2022-12-12
"840","GRIYA BATUNUNGGAL","115131512",0.08147653,13.330415001,2022-12-06,2022-12-12
"841","YOGYA DC - BUAH BATU","115131446",0.07848,13.3632,2022-12-06,NA
"842","YOGYA GATOT SUBROTO","115131503",0.02675432,4.789313,2022-12-06,2022-12-12
"843","YOGYA GATOT SUBROTO","115131504",0.07046638,10.794020004,2022-12-06,2022-12-12
"844","YOGYA GATOT SUBROTO","115131505",0.01226176,3.275422004,2022-12-06,2022-12-12
"845","YOGYA GATOT SUBROTO","115131506",0.00852,0.97248,2022-12-06,2022-12-12
"846","YOMART DC GOOD STOCK","115131412",0.03072,21.792,2022-12-05,NA
"847","YOMART DC GOOD STOCK","115131413",0.25073208,36.533866008,2022-12-05,NA
"848","YOMART DC GOOD STOCK","115131414",0.20245272,54.766968048,2022-12-05,NA
"849","YOMART DC GOOD STOCK","115131464",0.00768,5.41896,2022-12-06,2022-12-10
"850","YOMART DC GOOD STOCK","115131465",0.13315512,92.38032,2022-12-06,2022-12-10
"851","YOMART DC GOOD STOCK","115131466",0.02352,16.15344,2022-12-06,2022-12-10
"852","YOMART DC GOOD STOCK","115131467",0.32870016,49.191082008,2022-12-06,2022-12-10
"853","YOMART DC GOOD STOCK","115131468",0.0096,1.22004,2022-12-06,2022-12-10
"854","YOMART DC GOOD STOCK","115131469",0.06452224,18.249968,2022-12-06,2022-12-10
"855","YOMART DC GOOD STOCK","115131470",0.05364,5.78988,2022-12-06,2022-12-10
"856","YOMART DC GOOD STOCK","115131471",0.03445992,7.152,2022-12-06,2022-12-10
"857","YOMART DC GOOD STOCK","115131472",0.32891202,71.794639998,2022-12-06,2022-12-10
